contract_id,clause_id,clause_type,clause_text,risk_level
CTR-0032,CTR-0032-C04,Dividend Policy,"This dividend policy clause applies to contract CTR-0032. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0032,CTR-0032-C05,Tag-Along Rights,"This tag-along rights clause applies to contract CTR-0032. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0032,CTR-0032-C06,Dispute Resolution,"This dispute resolution clause applies to contract CTR-0032. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0033,CTR-0033-C01,Definitions,"This definitions clause applies to contract CTR-0033. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0033,CTR-0033-C02,Confidentiality,"This confidentiality clause applies to contract CTR-0033. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0033,CTR-0033-C03,Exclusions,"This exclusions clause applies to contract CTR-0033. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0033,CTR-0033-C04,Term,"This term clause applies to contract CTR-0033. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0033,CTR-0033-C05,Termination,"This termination clause applies to contract CTR-0033. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0033,CTR-0033-C06,Governing Law,"This governing law clause applies to contract CTR-0033. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0034,CTR-0034-C01,Scope of Services,"This scope of services clause applies to contract CTR-0034. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0034,CTR-0034-C02,Payment Terms,"This payment terms clause applies to contract CTR-0034. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0034,CTR-0034-C03,SLA,"This sla clause applies to contract CTR-0034. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0034,CTR-0034-C04,Indemnification,"This indemnification clause applies to contract CTR-0034. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0034,CTR-0034-C05,Termination,"This termination clause applies to contract CTR-0034. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0034,CTR-0034-C06,Liability,"This liability clause applies to contract CTR-0034. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0035,CTR-0035-C01,Compensation,"This compensation clause applies to contract CTR-0035. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0035,CTR-0035-C02,Benefits,"This benefits clause applies to contract CTR-0035. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0035,CTR-0035-C03,Confidentiality,"This confidentiality clause applies to contract CTR-0035. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0035,CTR-0035-C04,Non-Compete,"This non-compete clause applies to contract CTR-0035. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0035,CTR-0035-C05,IP Assignment,"This ip assignment clause applies to contract CTR-0035. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0035,CTR-0035-C06,Termination,"This termination clause applies to contract CTR-0035. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0036,CTR-0036-C01,Ownership,"This ownership clause applies to contract CTR-0036. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0036,CTR-0036-C02,Voting Rights,"This voting rights clause applies to contract CTR-0036. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0036,CTR-0036-C03,Transfer Restrictions,"This transfer restrictions clause applies to contract CTR-0036. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0036,CTR-0036-C04,Dividend Policy,"This dividend policy clause applies to contract CTR-0036. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0036,CTR-0036-C05,Tag-Along Rights,"This tag-along rights clause applies to contract CTR-0036. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0036,CTR-0036-C06,Dispute Resolution,"This dispute resolution clause applies to contract CTR-0036. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0037,CTR-0037-C01,Definitions,"This definitions clause applies to contract CTR-0037. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0037,CTR-0037-C02,Confidentiality,"This confidentiality clause applies to contract CTR-0037. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0037,CTR-0037-C03,Exclusions,"This exclusions clause applies to contract CTR-0037. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0037,CTR-0037-C04,Term,"This term clause applies to contract CTR-0037. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0037,CTR-0037-C05,Termination,"This termination clause applies to contract CTR-0037. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0037,CTR-0037-C06,Governing Law,"This governing law clause applies to contract CTR-0037. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0038,CTR-0038-C01,Scope of Services,"This scope of services clause applies to contract CTR-0038. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0038,CTR-0038-C02,Payment Terms,"This payment terms clause applies to contract CTR-0038. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0038,CTR-0038-C03,SLA,"This sla clause applies to contract CTR-0038. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0038,CTR-0038-C04,Indemnification,"This indemnification clause applies to contract CTR-0038. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0038,CTR-0038-C05,Termination,"This termination clause applies to contract CTR-0038. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0038,CTR-0038-C06,Liability,"This liability clause applies to contract CTR-0038. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0039,CTR-0039-C01,Compensation,"This compensation clause applies to contract CTR-0039. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0039,CTR-0039-C02,Benefits,"This benefits clause applies to contract CTR-0039. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0039,CTR-0039-C03,Confidentiality,"This confidentiality clause applies to contract CTR-0039. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0039,CTR-0039-C04,Non-Compete,"This non-compete clause applies to contract CTR-0039. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0039,CTR-0039-C05,IP Assignment,"This ip assignment clause applies to contract CTR-0039. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0039,CTR-0039-C06,Termination,"This termination clause applies to contract CTR-0039. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0040,CTR-0040-C01,Ownership,"This ownership clause applies to contract CTR-0040. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0040,CTR-0040-C02,Voting Rights,"This voting rights clause applies to contract CTR-0100. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0040,CTR-0040-C03,Transfer Restrictions,"This transfer restrictions clause applies to contract CTR-0100. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0040,CTR-0040-C04,Dividend Policy,"This dividend policy clause applies to contract CTR-0100. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0040,CTR-0040-C05,Tag-Along Rights,"This tag-along rights clause applies to contract CTR-0100. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0040,CTR-0040-C06,Dispute Resolution,"This dispute resolution clause applies to contract CTR-0100. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
